Season ,Total Gate ,Games ,Avg ,High avg ,Team ,Low avg ,Team 
1996,2785001,160,17406,28916,Los Angeles Galaxy ,10213,Colorado Rapids 
1997,2339019,160,14619,21423,New England Revolution ,9058,Kansas City Wizards 
1998,2747897,192,14312,21784,Los Angeles Galaxy ,8072,Kansas City Wizards 
1999,2742102,192,14282,17696,Columbus Crew ,8183,Kansas City Wizards 
2000,2641085,192,13756,20400,Los Angeles Galaxy ,7460,Miami Fusion 
2001,2363859,158,14961,21518,D.C. United ,9112,Kansas City Wizards 
2002,2215019,140,15822,20690,Colorado Rapids ,11150,San Jose Earthquakes 
2003,2234747,150,14898,21983,Los Angeles Galaxy ,7906,Dallas Burn 
2004,2333797,150,15559,23809,Los Angeles Galaxy ,9088,Dallas Burn 
2005,2900716,192,15108,24204,Los Angeles Galaxy ,9691,Kansas City Wizards 
2006,2976787,192,15504,20814,Los Angeles Galaxy ,11083,Kansas City Wizards 
2007,3270210,195,16770,24252,Los Angeles Galaxy ,11586,Kansas City Wizards 
2008,3456600,210,16460,26008,Los Angeles Galaxy ,10685,Kansas City Wizards 
2009,3608325,225,16037,30942,Seattle Sounders FC ,9883,FC Dallas 
2010,4002000,240,16675,36173,Seattle Sounders FC ,9659,San Jose Earthquakes 
2011,5468951,306,17872,38496,Seattle Sounders FC ,11858,San Jose Earthquakes
2012,6074729,323,18807,43144,Seattle Sounders FC ,"13,056",Chivas USA 
2013,6010384,323,18608,44038,Seattle Sounders FC ,"8,366",Chivas USA 
